song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score
Swan Song,LE SSERAFIM,1,2.0,2.0,44,44.0,0.0005511811023622047,0.0005511811023622047
Queencard,(G)I-DLE,2,9.0,13.0,49,49.5,0.0005118110236220473,0.00045275590551181104
Love Station,Lim Young Woong,3,5.666666666666667,12.0,49,49.666666666666664,0.00047244094488188977,0.00024934383202099736
Super,SEVENTEEN,2,3.0,3.0,47,48.0,0.00047244094488188977,0.00035433070866141734
GODS,League of Legends & NewJeans,2,4.5,6.0,48,48.5,0.00047244094488188977,0.0004133858267716535
Take Two,BTS,1,6.0,6.0,49,49.0,0.00047244094488188977,0.00047244094488188977
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,1,4.0,4.0,48,48.0,0.0004724409448818897,0.0004724409448818897
MEOW,MEOVV,1,2.0,2.0,45,45.0,0.0004724409448818897,0.0004724409448818897
Don't Look Back In Anger - Remastered,Oasis,1,2.0,2.0,45,45.0,0.0004724409448818897,0.0004724409448818897
Cool With You,NewJeans,1,4.0,4.0,48,48.0,0.0004724409448818897,0.0004724409448818897
CRAZY,LE SSERAFIM,1,2.0,2.0,45,45.0,0.0004724409448818897,0.0004724409448818897
Don't Look Back in Anger - Remastered,Oasis,2,2.0,2.0,45,46.0,0.0004724409448818897,0.0003937007874015748
NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,1,11.0,11.0,50,50.0,0.0004330708661417323,0.0004330708661417323
Nest,Lim Young Woong,6,5.166666666666667,11.0,46,49.0,0.0004330708661417323,0.0003083989501312336
HERO,Lim Young Woong,4,3.5,6.0,46,48.25,0.0003937007874015748,0.0002952755905511811
Why?,PLAVE,1,5.0,5.0,49,49.0,0.0003937007874015748,0.0003937007874015748
No Tomorrow - Spotify Singles,Various Artists,1,2.0,2.0,46,46.0,0.0003937007874015748,0.0003937007874015748
Nice Guy,BOYNEXTDOOR,1,5.0,5.0,49,49.0,0.0003937007874015748,0.0003937007874015748
Like That,Future & Metro Boomin,1,2.0,2.0,46,46.0,0.0003937007874015748,0.0003937007874015748
In Bloom,ZEROBASEONE,2,3.0,3.0,48,49.0,0.0003543307086614173,0.00023622047244094486
Super Lady,(G)I-DLE,1,3.0,3.0,48,48.0,0.0003543307086614173,0.0003543307086614173
Steady,NCT WISH,1,3.0,3.0,48,48.0,0.0003543307086614173,0.0003543307086614173
vampire,Olivia Rodrigo,2,3.0,3.0,48,48.0,0.0003543307086614173,0.0003543307086614173
Dare to Love (feat. BIG Naughty),B.I,1,3.0,3.0,48,48.0,0.0003543307086614173,0.0003543307086614173
Midas Touch,KISS OF LIFE,2,5.0,8.0,49,49.5,0.00031496062992125983,0.00023622047244094486
MAESTRO,SEVENTEEN,1,4.0,4.0,49,49.0,0.00031496062992125983,0.00031496062992125983
