song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,1,2.0,2.0,33,33.0,0.0014173228346456691,0.0014173228346456691,0.03225806451612903,0.36,0.12132842265684532,Low,0.36,0.128750952501905
Filter,BTS,3,98.66666666666667,288.0,31,40.333333333333336,0.22677165354330708,0.07611548556430446,0.0967741935483871,0.2133333333333333,0.12554432308864616,Low,0.4,0.12794183388366775
Love wins all,IU,3,2.0,2.0,28,36.666666666666664,0.0018110236220472442,0.0011286089238845144,0.0967741935483871,0.28666666666666674,0.1250482600965202,Low,0.46,0.12740443230886464
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2,4.0,6.0,24,35.0,0.0021259842519685043,0.0016535433070866143,0.06451612903225806,0.32,0.12230251460502921,Low,0.54,0.12711804673609348
FRI(END)S,V,6,2.3333333333333335,3.0,10,42.0,0.003228346456692913,0.000748031496062992,0.1935483870967742,0.18,0.13164376428752858,Low,0.82,0.12648504572009145
Get A Guitar,RIIZE,8,6.25,20.0,38,45.75,0.002047244094488189,0.0008316929133858268,0.25806451612903225,0.105,0.13497531432562868,Low,0.26,0.12471788084201169
With you,Jimin & HA SUNG WOON,4,57.75,201.0,28,41.25,0.18200787401574806,0.047194881889763785,0.12903225806451613,0.195,0.12427136779273558,Low,0.46,0.12387462693675387
"If I’m S, Can You Be My N?",TWS,1,2.0,2.0,34,34.0,0.0013385826771653544,0.0013385826771653544,0.03225806451612903,0.34,0.11530480060960123,Low,0.34,0.12222536195072392
Snowman,Sia,1,2.0,2.0,34,34.0,0.0013385826771653544,0.0013385826771653544,0.03225806451612903,0.34,0.11530480060960123,Low,0.34,0.12222536195072392
Love Letter,Lim Young Woong,9,3.6666666666666665,7.0,43,48.0,0.0012598425196850393,0.00041557305336832894,0.2903225806451613,0.06,0.13425370417407503,Low,0.16,0.12124796446815117
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,1,5.0,5.0,35,35.0,0.0031496062992125984,0.0031496062992125984,0.03225806451612903,0.32,0.1098481076962154,Low,0.32,0.11631394462788926
한 페이지가 될 수 있게,DAY6,1,2.0,2.0,35,35.0,0.0012598425196850393,0.0012598425196850393,0.03225806451612903,0.32,0.10928117856235713,Low,0.32,0.11569977139954281
Like Crazy (UK Garage Remix),Jimin,8,3.625,8.0,42,47.25,0.002204724409448819,0.000610236220472441,0.25806451612903225,0.075,0.12590887731775463,Low,0.18,0.11489590741681484
double take,Dhruv,6,3.8333333333333335,10.0,39,44.0,0.003937007874015748,0.0012073490813648293,0.1935483870967742,0.14,0.11978155956311914,Low,0.24,0.11363432393531454
Armageddon,aespa & Grimes & Flava D,1,15.0,15.0,36,36.0,0.008858267716535433,0.008858267716535433,0.03225806451612903,0.3,0.10556070612141225,Low,0.3,0.11166925958851917
VIBE (feat. Jimin of BTS),TAEYANG,7,16.571428571428573,98.0,43,46.142857142857146,0.003858267716535433,0.0010348706411698538,0.22580645161290322,0.09714285714285709,0.11977589898036937,Low,0.16,0.1109400195943249
AK47,Men's Tear & 뷰티풀너드,2,2.0,2.0,35,37.5,0.0012598425196850393,0.001062992125984252,0.06451612903225806,0.27,0.1071253492506985,Low,0.32,0.11067611760223521
Hate You,Jung Kook,6,2.5,3.0,39,44.5,0.0009448818897637794,0.0006233595800524934,0.1935483870967742,0.13,0.11660636271272544,Low,0.24,0.11019452734738804
Welcome to the Show,DAY6,6,26.833333333333332,141.0,36,44.833333333333336,0.03885826771653544,0.007198162729658793,0.1935483870967742,0.12333333333333328,0.1165788036576073,Low,0.3,0.1101646717043434
Who (Acoustic Remix),Jimin,5,6.8,24.0,36,43.4,0.0011811023622047244,0.0008661417322834645,0.16129032258064516,0.15200000000000002,0.1103759715519431,Low,0.3,0.10613310896621793
Who (Rock Remix),Jimin,5,6.0,14.0,35,43.6,0.0014173228346456691,0.0010078740157480315,0.16129032258064516,0.14799999999999996,0.10921849123698246,Low,0.32,0.10487917195834391
Memories,RIIZE,4,2.75,4.0,24,42.0,0.003188976377952756,0.0010531496062992126,0.12903225806451613,0.18,0.10592884810769622,Low,0.54,0.10400356394462788
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,4,37.0,102.0,35,43.0,0.06425196850393701,0.016811023622047245,0.12903225806451613,0.16,0.10465621031242063,Low,0.32,0.102624872999746
Please Please Please,Sabrina Carpenter,5,6.6,13.0,33,44.0,0.0056692913385826766,0.0017952755905511811,0.16129032258064516,0.14,0.10705471170942343,Low,0.36,0.10253507747015495
Melt Down,DAY6,4,2.25,3.0,40,42.25,0.001062992125984252,0.0007775590551181102,0.12903225806451613,0.175,0.10434617094234189,Low,0.22,0.10228899701549403
Holssi,IU,2,2.5,3.0,30,39.0,0.001653543307086614,0.0010039370078740158,0.06451612903225806,0.24,0.09810763271526542,Low,0.42,0.10090692468884936
Not Like Us,Kendrick Lamar,5,7.8,21.0,40,44.8,0.003464566929133858,0.0017086614173228345,0.16129032258064516,0.12400000000000005,0.10222872745745493,Low,0.22,0.09730692786385575
People Pt.2 (feat. IU),Agust D,2,14.5,25.0,35,40.0,0.015748031496062992,0.008346456692913385,0.06451612903225806,0.22,0.09431038862077724,Low,0.32,0.09679324358648718
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,1,6.0,6.0,38,38.0,0.0030708661417322837,0.0030708661417322837,0.03225806451612903,0.26,0.0918244856489713,Low,0.26,0.09678835407670816
Fry’s Dream,AKMU,2,7.0,11.0,39,40.0,0.004330708661417323,0.002874015748031496,0.06451612903225806,0.22,0.09266865633731268,Low,0.24,0.09501470027940057
SPOT!,ZICO & JENNIE,2,45.0,88.0,36,40.5,0.02078740157480315,0.010984251968503937,0.06451612903225806,0.21,0.0921017272034544,Low,0.3,0.0944005270510541
Sudden Shower,ECLIPSE,4,3.25,5.0,38,43.5,0.0015354330708661418,0.0007775590551181103,0.12903225806451613,0.15,0.0968461709423419,Low,0.26,0.09416399701549404
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,6,4.166666666666667,11.0,41,47.0,0.0011811023622047244,0.000583989501312336,0.1935483870967742,0.08,0.10159455168910338,Low,0.2,0.09393173207179747
A Psalm of Life,Lim Young Woong,6,25.333333333333332,132.0,45,47.333333333333336,0.0051968503937007875,0.0014829396325459316,0.1935483870967742,0.07333333333333329,0.09986423672847346,Low,0.12,0.09205722419778171
Father,Lim Young Woong,5,4.8,10.0,42,45.6,0.001968503937007874,0.0008346456692913385,0.16129032258064516,0.10799999999999997,0.09716652273304545,Low,0.18,0.09182287274574547
You & Me,JENNIE,6,6.833333333333333,18.0,46,47.666666666666664,0.002559055118110236,0.0007677165354330709,0.1935483870967742,0.06666666666666671,0.09764966979933962,Low,0.1,0.0896581100245534
That's What I Like,Bruno Mars,1,508.0,508.0,45,45.0,0.12,0.12,0.03225806451612903,0.12,0.0849032258064516,Low,0.12,0.08929032258064515
HAPPY,DAY6,1,161.0,161.0,42,42.0,0.057047244094488185,0.057047244094488185,0.03225806451612903,0.18,0.08401739903479807,Low,0.18,0.08833067691135382
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",GroovyRoom & HUH YUNJIN,2,2.0,2.0,41,41.0,0.0007874015748031496,0.0007874015748031496,0.06451612903225806,0.2,0.08604267208534416,Low,0.2,0.08783655067310135
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,3,11.333333333333334,16.0,32,43.0,0.0018897637795275589,0.001548556430446194,0.0967741935483871,0.16,0.0871742443484887,Low,0.38,0.0863742485818305
Lucky Girl Syndrome,ILLIT,4,6.25,17.0,43,45.0,0.004685039370078741,0.001614173228346457,0.12903225806451613,0.12,0.08809715519431038,Low,0.16,0.08468589662179324
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,1,3.0,3.0,40,40.0,0.0012992125984251969,0.0012992125984251969,0.03225806451612903,0.22,0.07929298958597918,Low,0.22,0.08321256667513335
녹아내려요 Melt Down,DAY6,1,2.0,2.0,40,40.0,0.0008661417322834645,0.0008661417322834645,0.03225806451612903,0.22,0.07916306832613666,Low,0.22,0.08307181864363729
Shot Glass of Tears,Jung Kook,5,15.8,62.0,44,47.2,0.01708661417322835,0.003677165354330709,0.16129032258064516,0.07599999999999994,0.08841927863855727,Low,0.14,0.08234669164338326
My You,Jung Kook,6,10.833333333333334,50.0,47,48.833333333333336,0.007874015748031496,0.0014829396325459316,0.1935483870967742,0.043333333333333286,0.09086423672847345,Low,0.08,0.0823072241977817
Talk Saxy,RIIZE,6,12.5,34.0,46,48.833333333333336,0.002677165354330709,0.0009776902887139109,0.1935483870967742,0.043333333333333286,0.09071266192532383,Low,0.1,0.08214301816103631
Let's Say Goodbye,Parc Jae Jung,2,2.0,2.0,38,42.0,0.0010236220472440946,0.0007086614173228347,0.06451612903225806,0.18,0.08001905003810007,Low,0.26,0.08131096012192024
Nest,Lim Young Woong,6,5.166666666666667,11.0,46,49.0,0.0004330708661417323,0.0003083989501312336,0.1935483870967742,0.04,0.08951187452374905,Low,0.1,0.08084216514266362
