song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score,average_momentum_score_normalized,fandom_intensity_score_normalized,sustainability_score_normalized,overall_performance_score,overall_rank,performance_balance
Who (Beautiful Mind Remix),Jimin,12,5.0,30.0,32,45.583333333333336,0.022440944881889763,0.002267060367454068,0.3870967741935484,0.10833333333333328,0.18801882778765555,Low,0.38,0.17142899892049782,0.018247975486977455,0.4111393092621275,0.42096791777835463,0.296711922110262,60,0.4027199422913772
Closer to You (feat. Major Lazer),Jung Kook,13,13.076923076923077,83.0,43,47.53846153846154,0.009803149606299211,0.0015414900060569349,0.41935483870967744,0.06923076923076919,0.18897361325491882,Low,0.16,0.1697751778003556,0.012197585736653364,0.4134608258571632,0.4164357151359188,0.29412306506857466,61,0.40423812939926546
Slow Dancing,V,6,2.1666666666666665,3.0,6,34.666666666666664,0.00531496062992126,0.0015813648293963253,0.1935483870967742,0.3266666666666667,0.1758937642875286,Low,0.9,0.17442254572009144,0.012530094112497264,0.38165777953996916,0.4291715623866704,0.28754929790807304,62,0.41664146827417314
BIRDS OF A FEATHER,Billie Eilish,3,2.0,2.0,18,29.0,0.0025984251968503938,0.0017322834645669292,0.0967741935483871,0.44,0.17122936245872492,Low,0.66,0.1774339598679197,0.013788575180564677,0.37031650275815886,0.4374241714457942,0.28684580852555297,63,0.4236355962652295
we can't be friends (wait for your love),Ariana Grande,3,2.0,2.0,18,29.0,0.0025984251968503938,0.0017322834645669292,0.0967741935483871,0.44,0.17122936245872492,Low,0.66,0.1774339598679197,0.013788575180564677,0.37031650275815886,0.4374241714457942,0.28684580852555297,64,0.4236355962652295
Right Now,NewJeans,2,2.0,2.0,17,27.5,0.002677165354330709,0.0018503937007874017,0.06451612903225806,0.47,0.16736156972313945,Low,0.68,0.1759320231140462,0.014773473407747869,0.36091214405173916,0.4333081992636929,0.2824091621827256,65,0.41853472585594503
Home,Lim Young Woong,3,3.6666666666666665,7.0,19,29.666666666666668,0.0025196850393700786,0.0017454068241469815,0.0967741935483871,0.42666666666666664,0.16723329946659893,Low,0.64,0.17310489162644993,0.013898008316918363,0.36060026087020963,0.4255606063453636,0.2793257060205261,66,0.41166259802844524
I Love You,Lim Young Woong,12,13.083333333333334,103.0,44,47.083333333333336,0.012165354330708662,0.0016043307086614173,0.3870967741935484,0.07833333333333328,0.17882000889001778,Low,0.14,0.1614636117813902,0.012721602101116218,0.3887728076156314,0.39365834156440754,0.27766738284334846,67,0.3809367394632913
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,8,33.5,189.0,29,41.375,0.029763779527559056,0.008828740157480315,0.25806451612903225,0.1925,0.163624428498857,Low,0.44,0.1557544211963424,0.07296454366382142,0.3518254584373973,0.37801262973948035,0.27733269396105364,68,0.3050480860756589
To. X,TAEYEON,3,3.0,5.0,20,30.333333333333332,0.002440944881889764,0.0016666666666666668,0.0967741935483871,0.41333333333333333,0.16320967741935483,Low,0.62,0.1687459677419355,0.013241409498796238,0.3508170104175158,0.41361522355458513,0.2715237047398742,69,0.40037381405578887
Espresso,Sabrina Carpenter,2,2.0,2.0,27,28.5,0.0018897637795275589,0.0017716535433070866,0.06451612903225806,0.45,0.16133794767589538,Low,0.48,0.16940643256286514,0.014116874589625739,0.3462659863290176,0.41542518980196,0.27082697402272987,70,0.4013083152123343
