artist,songs_with_reentry,total_reentries,average_momentum_score,average_fandom_intensity,average_sustainability_score
Hanumankind & Kalmi,1,1,0.00023622047244094486,0.030974091948183898,0.03086709423418847
BIG Naughty,1,2,0.0020275590551181106,0.03241471932943866,0.029739601854203712
NMIXX,1,2,9.84251968503937e-05,0.031835979171958344,0.029112633350266703
BOYNEXTDOOR,2,2,0.00035433070866141734,0.025009525019050037,0.024405480060960123
BSS,1,1,0.00031496062992125983,0.02499771399542799,0.024392684785369573
imase & BIG Naughty,1,1,0.0004330708661417323,0.019033147066294134,0.017931070612141227
NCT,1,1,0.00027559055118110237,0.018985902971805944,0.01787988950977902
NCT 127,1,1,0.00023622047244094488,0.018974091948183898,0.017867094234188467
BABYMONSTER,1,1,0.00015748031496062991,0.018950469900939803,0.017841503683007368
Jung Kook & Jack Harlow,1,1,0.00015748031496062991,0.018950469900939803,0.017841503683007368
Post Malone & Morgan Wallen,1,1,0.00015748031496062991,0.018950469900939803,0.017841503683007368
tripleS,1,1,0.00011811023622047244,0.018938658877317754,0.017828708407416814
Tate McRae,1,1,7.874015748031496e-05,0.018926847853695708,0.017815913131826264
